hom_count,illicit_resources,pop_slums,gini,corruption,pko_troops,pko_police,total_deaths,year,country_id
5913,1,NA,NA,NA,0,0,4016,1998,840
916,1,NA,NA,NA,0,0,2117,2001,775
743,1,NA,NA,NA,0,0,2269,2004,775
791,1,NA,NA,NA,0,0,2474,2008,775
1436,1,NA,NA,NA,0,0,2911,2012,775
1238,1,NA,NA,NA,0,0,2915,2013,775
1230,1,41,NA,NA,0,0,2930,2014,775
1152,1,NA,38.1,NA,0,0,2951,2015,775
1198,1,56.5999984741211,NA,NA,0,0,2951,2016,775
5344,1,NA,45.3,NA,0,0,215,1990,800
5586,1,NA,NA,NA,0,0,215,1991,800
5959,1,NA,47.9,NA,0,0,215,1992,800
5482,1,NA,NA,NA,0,0,215,1993,800
5006,1,NA,43.5,NA,0,0,215,1994,800
4542,1,NA,NA,NA,0,0,215,1995,800
4474,1,NA,42.9,NA,0,0,215,1996,800
4787,1,NA,NA,NA,0,0,215,1997,800
5361,1,NA,41.5,NA,0,0,215,1998,800
5052,1,NA,43.1,NA,0,0,215,1999,800
5142,1,NA,42.8,NA,0,0,223,2000,800
5020,1,NA,NA,NA,0,0,226,2001,800
4538,1,NA,41.9,NA,0,0,226,2002,800
6434,1,NA,NA,NA,0,0,226,2003,800
4273,1,NA,42.5,NA,0,0,226,2004,800
4806,1,26,NA,NA,0,0,226,2005,800
4687,1,NA,41.8,NA,0,0,226,2006,800
4435,1,NA,39.8,NA,0,0,226,2007,800
3974,1,NA,40.3,NA,0,0,226,2008,800
3703,1,NA,39.6,NA,0,0,226,2009,800
3654,1,27,39.4,NA,0,0,233,2010,800
3307,1,NA,37.5,NA,0,0,233,2011,800
3323,1,NA,39.3,NA,0,0,233,2012,800
2894,1,NA,37.8,NA,0,0,233,2013,800
2649,1,25,37,NA,0,0,233,2014,800
2387,1,NA,36,NA,0,0,233,2015,800
2229,1,24.6000003814697,36.9,NA,0,0,233,2016,800
1787,1,NA,36.5,NA,0,0,233,2017,800
1198,0,56.5999984741211,NA,NA,0,0,175,2016,775
1613,0,NA,NA,NA,0,0,69,1995,775
1041,0,NA,NA,NA,0,0,69,2000,775
916,0,NA,NA,NA,0,0,69,2001,775
814,0,NA,NA,NA,0,0,69,2002,775
764,0,NA,NA,NA,0,0,69,2003,775
743,0,NA,NA,NA,0,0,69,2004,775
676,0,45.5999984741211,NA,NA,0,0,69,2005,775
777,0,NA,NA,NA,0,0,69,2006,775
749,0,NA,NA,NA,0,0,69,2007,775
791,0,NA,NA,NA,0,0,69,2008,775
879,0,NA,NA,NA,0,0,69,2009,775
801,0,NA,NA,NA,0,0,69,2010,775
1055,0,NA,NA,NA,0,0,69,2011,775
1436,0,NA,NA,NA,0,0,70,2012,775
1238,0,NA,NA,NA,0,0,70,2013,775
1230,0,41,NA,NA,0,0,72,2014,775
1152,0,NA,38.1,NA,0,0,76,2015,775
1613,1,NA,NA,NA,0,0,82,1995,775
1041,1,NA,NA,NA,0,0,82,2000,775
916,1,NA,NA,NA,0,0,82,2001,775
814,1,NA,NA,NA,0,0,82,2002,775
764,1,NA,NA,NA,0,0,82,2003,775
743,1,NA,NA,NA,0,0,82,2004,775
676,1,45.5999984741211,NA,NA,0,0,82,2005,775
777,1,NA,NA,NA,0,0,82,2006,775
749,1,NA,NA,NA,0,0,82,2007,775
791,1,NA,NA,NA,0,0,82,2008,775
879,1,NA,NA,NA,0,0,82,2009,775
801,1,NA,NA,NA,0,0,82,2010,775
1055,1,NA,NA,NA,0,0,82,2011,775
1436,1,NA,NA,NA,0,0,82,2012,775
1238,1,NA,NA,NA,0,0,85,2013,775
1230,1,41,NA,NA,0,0,85,2014,775
1152,1,NA,38.1,NA,0,0,85,2015,775
1198,1,56.5999984741211,NA,NA,0,0,85,2016,775
46386,1,48.2000007629395,NA,NA,0,0,653,1995,750
419,1,NA,NA,NA,0,0,191,2017,670
2046,1,NA,NA,NA,0,0,190,1990,775
1613,1,NA,NA,NA,0,0,190,1995,775
1041,1,NA,NA,NA,0,0,190,2000,775
916,1,NA,NA,NA,0,0,201,2001,775
814,1,NA,NA,NA,0,0,201,2002,775
764,1,NA,NA,NA,0,0,201,2003,775
743,1,NA,NA,NA,0,0,201,2004,775
676,1,45.5999984741211,NA,NA,0,0,201,2005,775
777,1,NA,NA,NA,0,0,207,2006,775
749,1,NA,NA,NA,0,0,207,2007,775
791,1,NA,NA,NA,0,0,207,2008,775
879,1,NA,NA,NA,0,0,207,2009,775
801,1,NA,NA,NA,0,0,207,2010,775
1198,1,56.5999984741211,NA,NA,0,0,1453,2016,775
3619,1,NA,NA,0.664,0,0,437,1996,90
3998,1,NA,NA,0.651,0,195,437,1997,90
3310,1,NA,NA,0.635,0,0,437,1998,90
2655,1,NA,NA,0.635,0,173,437,1999,90
2904,1,48.0999984741211,54.2,0.613,0,517,437,2000,90
3230,1,NA,NA,0.613,0,113,437,2001,90
3631,1,NA,NA,0.593,0,90,437,2002,90
4237,1,NA,NA,0.593,0,0,437,2003,90
4507,1,NA,NA,0.593,0,0,437,2004,90
5338,1,42.9000015258789,NA,0.564,0,0,437,2005,90
5885,1,NA,54.6,0.564,0,0,437,2006,90
5781,1,NA,NA,0.564,0,0,437,2007,90
6292,1,NA,NA,0.564,0,0,437,2008,90
6498,1,NA,NA,0.564,0,0,437,2009,90
5960,1,38.7000007629395,NA,0.564,0,0,437,2010,90
5681,1,NA,NA,0.541,0,0,437,2011,90
5155,1,NA,NA,0.536,0,0,437,2012,90
5253,1,NA,NA,0.536,0,0,437,2013,90
4998,1,38.7000007629395,48.3,0.536,0,0,437,2014,90
4778,1,NA,NA,0.542,0,0,437,2015,90
4520,1,31,NA,0.498,0,0,437,2016,90
4410,1,NA,NA,0.436,0,0,437,2017,90
3881,1,31,NA,0.436,0,0,437,2018,90
183,1,NA,NA,NA,149450,0,152,2008,660
145,1,NA,NA,NA,147225,0,152,2009,660
163,1,NA,NA,NA,141080,0,152,2010,660
168,1,NA,31.8,NA,144641,0,152,2011,660
194,1,NA,NA,NA,139971,0,152,2012,660
236,1,NA,NA,NA,129139,0,152,2013,660
240,1,53.0999984741211,NA,NA,113330,0,152,2014,660
231,1,NA,NA,NA,125553,0,152,2015,660
235,1,NA,NA,NA,126859,0,152,2016,660
246,1,NA,NA,NA,116123,0,152,2017,660
171,1,61.0999984741211,NA,NA,125723,0,152,2018,660
156,1,NA,38.1,NA,0,0,324,1997,666
147,1,NA,NA,NA,0,0,329,1998,666
137,1,NA,NA,NA,0,0,331,1999,666
127,1,NA,NA,NA,0,0,3701,2013,666
110,1,NA,NA,NA,0,0,5966,2015,666
104,1,NA,39,NA,0,0,5973,2016,666
123,1,NA,NA,NA,0,0,5996,2017,666
49292,1,NA,NA,NA,0,0,355,1998,750
47781,1,NA,NA,NA,0,0,357,1999,750
46420,1,NA,NA,NA,0,0,403,2001,750
45736,1,NA,NA,NA,0,0,414,2002,750
44331,1,NA,NA,NA,0,0,415,2003,750
46490,1,NA,34.4,NA,0,0,415,2004,750
45095,1,34.7999992370605,NA,NA,0,0,425,2005,750
44961,1,NA,NA,NA,0,0,427,2006,750
45362,1,NA,NA,NA,0,0,428,2007,750
45999,1,NA,NA,NA,0,0,428,2008,750
45824,1,NA,35.4,NA,0,0,436,2009,750
46460,1,29.3999996185303,NA,NA,0,0,437,2010,750
47640,1,NA,35.7,NA,0,0,445,2011,750
47478,1,NA,NA,NA,0,0,451,2012,750
45878,1,NA,NA,NA,0,0,453,2013,750
47356,1,24,NA,NA,0,0,467,2014,750
44373,1,NA,NA,NA,0,0,467,2015,750
42678,1,35.4000015258789,NA,NA,0,0,470,2016,750
41832,1,NA,NA,NA,0,0,472,2017,750
41651,1,35.2000007629395,NA,NA,0,0,477,2018,750
1613,1,NA,NA,NA,0,0,425,1995,775
1041,1,NA,NA,NA,0,0,569,2000,775
916,1,NA,NA,NA,0,0,590,2001,775
814,1,NA,NA,NA,0,0,610,2002,775
764,1,NA,NA,NA,0,0,615,2003,775
743,1,NA,NA,NA,0,0,637,2004,775
777,1,NA,NA,NA,0,0,675,2006,775
749,1,NA,NA,NA,0,0,689,2007,775
791,1,NA,NA,NA,0,0,689,2008,775
879,1,NA,NA,NA,0,0,689,2009,775
801,1,NA,NA,NA,0,0,695,2010,775
1055,1,NA,NA,NA,0,0,695,2011,775
1436,1,NA,NA,NA,0,0,710,2012,775
1238,1,NA,NA,NA,0,0,710,2013,775
1230,1,41,NA,NA,0,0,710,2014,775
1152,1,NA,38.1,NA,0,0,710,2015,775
1198,1,56.5999984741211,NA,NA,0,0,710,2016,775
1118,1,NA,NA,NA,1501,0,64,1993,645
1267,1,NA,NA,NA,10756,0,66,1994,645
149,1,37.9000015258789,NA,NA,11754,0,1780,2018,652
183,0,NA,NA,NA,149450,0,631,2008,660
145,0,NA,NA,NA,147225,0,631,2009,660
163,0,NA,NA,NA,141080,0,631,2010,660
168,0,NA,31.8,NA,144641,0,631,2011,660
194,0,NA,NA,NA,139971,0,631,2012,660
